Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
Collaboration,GT,PST,,,,,Work jointly with others or together especially in an intellectual endeavor,,,,,,,,,,,,
Colonialism,GT,PST,,,,,"a political-economic phenomenon whereby various European nations explored, conquered, settled, and exploited large areas of the world. The age of modern colonialism began about 1500, following the European discoveries of a sea route around Africa’s southern coast (1488) and of America (1492). With these events sea power shifted from the Mediterranean to the Atlantic and to the emerging nation-states of Portugal, Spain, the Dutch Republic, France, and England. By discovery, conquest, and settlement, these nations expanded and colonized throughout the world, spreading European institutions and culture.",,,,,,,,,,,,
Comanche Nation,GT,PST,,,,,"A Native American nation from the Great Plains whose historic territory, known as Comancheria, consisted of present-day eastern New Mexico, southeastern Colorado, southwestern Kansas, western Oklahoma, and most of northwest Texas and northern Chihuahua",,,,,,,,,,,,
Advertising,GT,PST,,,,,"Shorts aimed at selling products in partnership with brands. Popular way of gathering cash fast, either for project financing, or living expenses in the case of directors or other crew members who are not well known",,,,,,,,,,,,
Communism,GT,PST,,,,,A totalitarian system of government in which a single authoritarian party controls state-owned means of production,,,,,,,,,,,,
Concert,GT,PST,,,,,A public performance (as of music or dancing),,,,,,,,,,,,
Consciousness,GT,PST,,,,,The fact of awareness by the mind of itself and the world,,,,,,,,,,,,
Convent School,GT,PST,,,,,"a school, especially one for girls, attached to and run by convent.",,,,,,,,,,,,
"Corcoran, California",GT,PST,,,,,"A city in Kings County, California",,,,,,,,,,,,
Corruption,GT,PST,,,,,"dishonest or fraudulent conduct by those in power, typically involving briber",,,,,,,,,,,,
Costumbrism Comedy,GF,PST,,Literary realism,,,"(Costumbrismo) Literature from the nineteenth century that reflects the social customs, in many cases without analyzing them or interpreting them critically. Its most popular and less intellectual slope is limited to the description of the most apparent and colorful of everyday life.",,,,,,,,,,,,
Costume,TP,PST,,,,,"An outfit worn to create the appearance characteristic of a particular period, person, place, or thing",,,,,,,,,,,,
Cristera War (1926-29),ET,PST,,Cristero Rebellion,,,"a widespread struggle in many central-western Mexican states against the secularist, anti-Catholic and anti-clerical policies of the Mexican government",,,,,,,,,,,,
Critical Reception,GT,PST,,,,,,,,,,,,,,,,,
Cuban Missile Crisis (1962),ET,PST,,,,,A major confrontation that brought the United States and the Soviet Union close to war over the presence of Soviet nuclear-armed missiles in Cuba.,,,,,,,,,,,,
Cuban Revolution (1953-1959),ET,PST,,,,,The Cuban Revolution was an armed revolt conducted by Fidel Castro's 26th of July Movement and its allies against the right-wing authoritarian government of Cuban President Fulgencio Batista,,,,,,,,,,,,
Cult,GT,PST,,,,,a system of religious veneration and devotion directed toward a particular figure or object,,,,,,,,,,,,
Culture,GT,PST,,,,,"The customary beliefs, social forms, and material traits of a racial, religious, or social group",,,,,,,,,,,,
Dailies,TP,PST,,Rushes,,Daily Rushes,Daily raw footage shot during the production of a motion picture,,,,,,,,,,,,
Day of the Dead,ET,PST,,,,,"A Mexican holiday celebrated throughout Mexico, in particular the Central and South regions, and by people of Mexican ancestry living in other places, especially the United States",,,,,,,,,,,,
De Colores song,GT,PST,,,,,Anthem for the United Farm Workers,,,,,,,,,,,,
Debt,GT,PST,,,,,"something, typically money, that is owed or due.",,,,,,,,,,,,
Delano Grape Strike,ET,PST,,,,,"In 1965, Filipino and Mexican American farm workers in Delano, California, began a strike against area grape growers for equal wages for foreign workers. This historic strike lasted more than 5 years and resulted in contracts for more than 10,000 workers. It also launched the United Farm Workers of America (UFW) and made leader Cesar Chavez one of the most celebrated figures of the 20th century",,,,,,,,,,,,
"Delano, California",GT,PST,,,,,"A city in Kern County, California",,,,,,,,,,,,
Deportation,GT,PST,,,,,The removal from a country of an alien whose presence is unlawful or prejudicial,,,,,,,,,,,,
Dialog,TP,PST,,Dialogue,,,"conversation between two or more people as a feature of a book, play, or movie.",,,,,,,,,,,,
Dictatorship,GT,PST,,,,,A form of government in which one person or a small group possesses absolute power,,,,,,,,,,,,
Digital Cinema,TP,PST,,,,,"Digital cinema refers to the use of digital technology to distribute or project motion pictures as opposed to the historical use of reels of motion picture film, such as 35 mm film",,,,,,,,,,,,
Director,PC,PST,,,,,The work of supervising and controlling actors and other personnel during the pre-production and production of a film.,,,,,,,,,,,,
Disney movies,GF,PST,,,,,Movies made by Walter Elias Disney 1901–1966 American film producer,,,,,,,,,,,,
Film Distribution,TP,PST,,,,,The process of making a movie available for viewing by an audience.,,,,,,,,,,,,
Divorce,GT,PST,,,,,The legal dissolution of a marriage by a court or other competent body,,,,,,,,,,,,
Doctor,GT,PST,,,,,A 'qualified practitioner of medicine; a physician,,,,,,,,,,,,
Documentary,GF,PST,,,,,A movie or a television or radio program that provides a factual record or report.,,,,,,,,,,,,
Dreams,GT,PST,,,,,"A series of thoughts, images, or emotions occurring during sleep •",,,,,,,,,,,,
Drugs,GT,PST,,,,,"Often an illegal substance that causes addiction, habituation (see habituation 2b), or a marked change in consciousness",,,,,,,,,,,,
